SourceField,TargetField,DataType
Id,AccountId,STRING
MasterRecordId,MasterRecordId,STRING
Name,Name,STRING
Type,Type,STRING
ParentId,ParentId,STRING
BillingStreet,BillingStreet,STRING
BillingCity,BillingCity,STRING
BillingState,BillingState,STRING
BillingPostalCode,BillingPostalCode,STRING
BillingCountry,BillingCountry,STRING
BillingLatitude,BillingLatitude,FLOAT
BillingLongitude,BillingLongitude,FLOAT
ShippingStreet,ShippingStreet,STRING
ShippingCity,ShippingCity,STRING
ShippingState,ShippingState,STRING
ShippingPostalCode,ShippingPostalCode,STRING
ShippingCountry,ShippingCountry,STRING
ShippingLatitude,ShippingLatitude,FLOAT
ShippingLongitude,ShippingLongitude,FLOAT
ShippingGeocodeAccuracy,ShippingGeocodeAccuracy,STRING
Phone,Phone,STRING
Fax,Fax,STRING
Website,Website,STRING
Industry,Industry,STRING
AnnualRevenue,AnnualRevenue,FLOAT
NumberOfEmployees,NumberOfEmployees,INTEGER
Description,Description,STRING
OwnerId,OwnerId,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
LastActivityDate,LastActivityDate,DATE
LastViewedDate,LastViewedDatestamp,TIMESTAMP
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
AccountSource,AccountSource,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
